occupation_soc_code,employment_1,hourly_mean_wage,annual_mean_wage_2,hourly_median_wage,annual_median_wage_2,employment_per_1_000_jobs,soc_code,occupation,median_wage_bin,median_wage_bin_label
"Ushers, Lobby Attendants, and Ticket Takers(393031)",100,13.76,28610,12.31,25610,0.85,393031,"Ushers, Lobby Attendants, and Ticket Takers",1,25610-37760
Amusement and Recreation Attendants(393091),210,15.71,32680,13.72,28540,1.878,393091,Amusement and Recreation Attendants,1,25610-37760
"Hairdressers, Hairstylists, and Cosmetologists(395012)",270,23.43,48740,17.85,37130,2.372,395012,"Hairdressers, Hairstylists, and Cosmetologists",1,25610-37760
Manicurists and Pedicurists(395092),100,17.26,35890,13.86,28820,0.881,395092,Manicurists and Pedicurists,1,25610-37760
Skincare Specialists(395094),40,23.08,48000,18.2,37860,0.324,395094,Skincare Specialists,2,37860-48320
Concierges(396012),60,16.46,34240,15.57,32380,0.506,396012,Concierges,1,25610-37760
Tour and Travel Guides(397010),100,17.89,37200,14.25,29640,0.901,397010,Tour and Travel Guides,1,25610-37760
Childcare Workers(399011),360,14.42,29980,13.65,28390,3.187,399011,Childcare Workers,1,25610-37760
Exercise Trainers and Group Fitness Instructors(399031),400,26.63,55390,22.5,46810,3.509,399031,Exercise Trainers and Group Fitness Instructors,2,37860-48320
Recreation Workers(399032),230,16.89,35140,16.15,33590,2.075,399032,Recreation Workers,1,25610-37760
Residential Advisors(399041),70,20.39,42400,17.76,36940,0.582,399041,Residential Advisors,1,25610-37760
First-Line Supervisors of Retail Sales Workers(411011),870,24.7,51370,22.94,47710,7.682,411011,First-Line Supervisors of Retail Sales Workers,2,37860-48320
First-Line Supervisors of Non-Retail Sales Workers(411012),200,46.29,96280,38.76,80610,1.771,411012,First-Line Supervisors of Non-Retail Sales Workers,4,60640-86950
Cashiers(412011),2370,14.28,29700,13.74,28580,21.063,412011,Cashiers,1,25610-37760
Counter and Rental Clerks(412021),360,19.74,41060,17.92,37270,3.242,412021,Counter and Rental Clerks,1,25610-37760
Parts Salespersons(412022),120,16.51,34350,15.41,32040,1.087,412022,Parts Salespersons,1,25610-37760
Retail Salespersons(412031),2490,16.66,34660,14.4,29940,22.081,412031,Retail Salespersons,1,25610-37760
Advertising Sales Agents(413011),60,28.3,58860,30.53,63490,0.575,413011,Advertising Sales Agents,4,60640-86950
Insurance Sales Agents(413021),310,35.24,73300,27.21,56590,2.724,413021,Insurance Sales Agents,3,48340-60600
"Securities, Commodities, and Financial Services Sales Agents(413031)",340,59.36,123470,25.04,52070,3.045,413031,"Securities, Commodities, and Financial Services Sales Agents",3,48340-60600
Travel Agents(413041),40,23.48,48830,20.42,42470,0.398,413041,Travel Agents,2,37860-48320
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel(413091)",840,35.72,74300,28.85,60010,7.423,413091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",3,48340-60600
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products(414011)",90,54.84,114060,48.34,100550,0.76,414011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",5,88050-238990
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products(414012)",490,33.32,69310,29.03,60390,4.374,414012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",3,48340-60600
Demonstrators and Product Promoters(419011),120,16.44,34190,14.78,30740,1.097,419011,Demonstrators and Product Promoters,1,25610-37760
Real Estate Sales Agents(419022),220,30.99,64460,23,47840,1.95,419022,Real Estate Sales Agents,2,37860-48320
First-Line Supervisors of Office and Administrative Support Workers(431011),970,30.91,64300,28.84,59990,8.594,431011,First-Line Supervisors of Office and Administrative Support Workers,3,48340-60600
Bill and Account Collectors(433011),50,23.16,48180,22.75,47320,0.41,433011,Bill and Account Collectors,2,37860-48320
Billing and Posting Clerks(433021),140,21.91,45570,21.66,45050,1.274,433021,Billing and Posting Clerks,2,37860-48320
"Bookkeeping, Accounting, and Auditing Clerks(433031)",1100,23.15,48150,22.89,47610,9.791,433031,"Bookkeeping, Accounting, and Auditing Clerks",2,37860-48320
Payroll and Timekeeping Clerks(433051),100,26.91,55970,26.24,54570,0.909,433051,Payroll and Timekeeping Clerks,3,48340-60600
Tellers(433071),130,19.48,40520,18.47,38410,1.185,433071,Tellers,2,37860-48320
"Court, Municipal, and License Clerks(434031)",60,20.61,42880,18.58,38640,0.536,434031,"Court, Municipal, and License Clerks",2,37860-48320
Customer Service Representatives(434051),1420,19.16,39860,17.65,36710,12.609,434051,Customer Service Representatives,1,25610-37760
"Eligibility Interviewers, Government Programs(434061)",110,23.57,49020,23.61,49110,0.97,434061,"Eligibility Interviewers, Government Programs",3,48340-60600
"Hotel, Motel, and Resort Desk Clerks(434081)",290,14.82,30830,14.43,30010,2.574,434081,"Hotel, Motel, and Resort Desk Clerks",1,25610-37760
"Interviewers, Except Eligibility and Loan(434111)",110,19.98,41560,18.42,38300,0.987,434111,"Interviewers, Except Eligibility and Loan",2,37860-48320
"Library Assistants, Clerical(434121)",100,15.44,32110,14.29,29730,0.918,434121,"Library Assistants, Clerical",1,25610-37760
Order Clerks(434151),50,19.68,40930,16.9,35150,0.477,434151,Order Clerks,1,25610-37760
"Human Resources Assistants, Except Payroll and Timekeeping(434161)",70,23.56,49000,21.8,45330,0.631,434161,"Human Resources Assistants, Except Payroll and Timekeeping",2,37860-48320
Receptionists and Information Clerks(434171),840,16.7,34740,16.43,34160,7.424,434171,Receptionists and Information Clerks,1,25610-37760
"Information and Record Clerks, All Other(434199)",80,21.36,44420,20.51,42660,0.743,434199,"Information and Record Clerks, All Other",2,37860-48320
Public Safety Telecommunicators(435031),80,20.86,43380,20.08,41770,0.721,435031,Public Safety Telecommunicators,2,37860-48320
"Dispatchers, Except Police, Fire, and Ambulance(435032)",100,26.7,55530,24.4,50750,0.914,435032,"Dispatchers, Except Police, Fire, and Ambulance",3,48340-60600
Postal Service Clerks(435051),70,28.63,59540,29.4,61150,0.631,435051,Postal Service Clerks,4,60640-86950
Postal Service Mail Carriers(435052),210,28.74,59780,27.29,56760,1.883,435052,Postal Service Mail Carriers,3,48340-60600
"Production, Planning, and Expediting Clerks(435061)",120,26.16,54400,24.09,50110,1.022,435061,"Production, Planning, and Expediting Clerks",3,48340-60600
"Shipping, Receiving, and Inventory Clerks(435071)",300,19.15,39840,18.16,37760,2.684,435071,"Shipping, Receiving, and Inventory Clerks",1,25610-37760
Executive Secretaries and Executive Administrative Assistants(436011),370,32.98,68600,30.9,64280,3.265,436011,Executive Secretaries and Executive Administrative Assistants,4,60640-86950
Legal Secretaries and Administrative Assistants(436012),50,26.39,54890,23.2,48250,0.485,436012,Legal Secretaries and Administrative Assistants,2,37860-48320
Medical Secretaries and Administrative Assistants(436013),600,19.75,41070,18.37,38200,5.342,436013,Medical Secretaries and Administrative Assistants,2,37860-48320
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive(436014)",1300,22.1,45970,22.9,47620,11.55,436014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2,37860-48320
Data Entry Keyers(439021),80,17.94,37300,17.2,35780,0.709,439021,Data Entry Keyers,1,25610-37760
Insurance Claims and Policy Processing Clerks(439041),140,20.93,43520,21.87,45490,1.217,439041,Insurance Claims and Policy Processing Clerks,2,37860-48320
"Mail Clerks and Mail Machine Operators, Except Postal Service(439051)",30,16.35,34000,15.9,33070,0.298,439051,"Mail Clerks and Mail Machine Operators, Except Postal Service",1,25610-37760
"Office Clerks, General(439061)",2000,20.62,42890,19.23,39990,17.741,439061,"Office Clerks, General",2,37860-48320
"Office and Administrative Support Workers, All Other(439199)",380,22.24,46260,23.51,48900,3.412,439199,"Office and Administrative Support Workers, All Other",3,48340-60600
"First-Line Supervisors of Farming, Fishing, and Forestry Workers(451011)",60,28.9,60110,28.03,58290,0.492,451011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",3,48340-60600
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse(452092)",150,16.84,35020,15.99,33250,1.326,452092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",1,25610-37760
"Farmworkers, Farm, Ranch, and Aquacultural Animals(452093)",50,18.59,38670,15.7,32660,0.401,452093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1,25610-37760
Logging Equipment Operators(454022),70,23.02,47890,22.67,47140,0.618,454022,Logging Equipment Operators,2,37860-48320
First-Line Supervisors of Construction Trades and Extraction Workers(471011),740,36.2,75290,35.71,74270,6.558,471011,First-Line Supervisors of Construction Trades and Extraction Workers,4,60640-86950
Brickmasons and Blockmasons(472021),40,24.08,50080,24.5,50950,0.359,472021,Brickmasons and Blockmasons,3,48340-60600
Carpenters(472031),620,24.4,50760,23.5,48870,5.529,472031,Carpenters,3,48340-60600
Cement Masons and Concrete Finishers(472051),170,23.1,48060,23.4,48680,1.521,472051,Cement Masons and Concrete Finishers,3,48340-60600
Construction Laborers(472061),630,18.82,39150,18.41,38290,5.632,472061,Construction Laborers,2,37860-48320
Operating Engineers and Other Construction Equipment Operators(472073),290,23.62,49120,22.58,46970,2.569,472073,Operating Engineers and Other Construction Equipment Operators,2,37860-48320
Drywall and Ceiling Tile Installers(472081),40,22.14,46050,22.54,46890,0.357,472081,Drywall and Ceiling Tile Installers,2,37860-48320
Electricians(472111),740,30.07,62540,28.19,58630,6.591,472111,Electricians,3,48340-60600
"Painters, Construction and Maintenance(472141)",150,20.75,43160,21.54,44810,1.309,472141,"Painters, Construction and Maintenance",2,37860-48320
"Plumbers, Pipefitters, and Steamfitters(472152)",280,26.93,56010,25.04,52090,2.503,472152,"Plumbers, Pipefitters, and Steamfitters",3,48340-60600
Roofers(472181),60,24.12,50170,23.57,49030,0.502,472181,Roofers,3,48340-60600
Sheet Metal Workers(472211),40,25.89,53860,26.05,54180,0.324,472211,Sheet Metal Workers,3,48340-60600
Helpers--Carpenters(473012),60,18.03,37500,17.42,36240,0.49,473012,Helpers--Carpenters,1,25610-37760
Helpers--Electricians(473013),70,18.28,38030,17.89,37200,0.617,473013,Helpers--Electricians,1,25610-37760
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters(473015)",50,17.61,36620,17.82,37060,0.463,473015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",1,25610-37760
Construction and Building Inspectors(474011),90,31.53,65570,30.85,64170,0.816,474011,Construction and Building Inspectors,4,60640-86950
Highway Maintenance Workers(474051),150,21.82,45380,21.29,44280,1.368,474051,Highway Maintenance Workers,2,37860-48320
"Excavating and Loading Machine and Dragline Operators, Surface Mining(475022)",60,24.2,50340,23.85,49600,0.55,475022,"Excavating and Loading Machine and Dragline Operators, Surface Mining",3,48340-60600
"First-Line Supervisors of Mechanics, Installers, and Repairers(491011)",380,34.03,70780,31.58,65680,3.338,491011,"First-Line Supervisors of Mechanics, Installers, and Repairers",4,60640-86950
"Computer, Automated Teller, and Office Machine Repairers(492011)",50,21.51,44750,20.62,42880,0.423,492011,"Computer, Automated Teller, and Office Machine Repairers",2,37860-48320
"Telecommunications Equipment Installers and Repairers, Except Line Installers(492022)",110,32.54,67680,33.05,68730,0.992,492022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",4,60640-86950
Automotive Body and Related Repairers(493021),80,34.89,72580,27.67,57560,0.668,493021,Automotive Body and Related Repairers,3,48340-60600
Automotive Service Technicians and Mechanics(493023),490,23.96,49840,23.24,48340,4.391,493023,Automotive Service Technicians and Mechanics,3,48340-60600
Bus and Truck Mechanics and Diesel Engine Specialists(493031),130,25.31,52650,24.72,51420,1.115,493031,Bus and Truck Mechanics and Diesel Engine Specialists,3,48340-60600
"Mobile Heavy Equipment Mechanics, Except Engines(493042)",80,27.1,56370,25.74,53540,0.728,493042,"Mobile Heavy Equipment Mechanics, Except Engines",3,48340-60600
Outdoor Power Equipment and Other Small Engine Mechanics(493053),30,21.88,45510,21.92,45590,0.274,493053,Outdoor Power Equipment and Other Small Engine Mechanics,2,37860-48320
Tire Repairers and Changers(493093),50,19.4,40340,18.52,38520,0.447,493093,Tire Repairers and Changers,2,37860-48320
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers(499021)",370,27.02,56190,27.16,56480,3.31,499021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",3,48340-60600
Industrial Machinery Mechanics(499041),100,28.93,60170,27.55,57310,0.9,499041,Industrial Machinery Mechanics,3,48340-60600
Electrical Power-Line Installers and Repairers(499051),70,39.04,81210,40.04,83280,0.639,499051,Electrical Power-Line Installers and Repairers,4,60640-86950
Medical Equipment Repairers(499062),50,28.23,58710,25.96,53990,0.44,499062,Medical Equipment Repairers,3,48340-60600
"Maintenance and Repair Workers, General(499071)",1160,21.8,45340,21.25,44210,10.271,499071,"Maintenance and Repair Workers, General",2,37860-48320
"Helpers--Installation, Maintenance, and Repair Workers(499098)",100,17.57,36540,17.86,37160,0.921,499098,"Helpers--Installation, Maintenance, and Repair Workers",1,25610-37760
"Installation, Maintenance, and Repair Workers, All Other(499099)",90,22.3,46380,22.48,46760,0.768,499099,"Installation, Maintenance, and Repair Workers, All Other",2,37860-48320
First-Line Supervisors of Production and Operating Workers(511011),220,34.71,72200,32.88,68380,1.97,511011,First-Line Supervisors of Production and Operating Workers,4,60640-86950
"Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers(512028)",200,20.62,42880,18.41,38290,1.756,512028,"Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers",2,37860-48320
Miscellaneous Assemblers and Fabricators(512090),200,18.51,38490,17.54,36480,1.795,512090,Miscellaneous Assemblers and Fabricators,1,25610-37760
Bakers(513011),160,15.48,32200,14.12,29370,1.387,513011,Bakers,1,25610-37760
Butchers and Meat Cutters(513021),60,18.88,39260,18.82,39140,0.573,513021,Butchers and Meat Cutters,2,37860-48320
Machinists(514041),80,27.03,56220,27.98,58210,0.724,514041,Machinists,3,48340-60600
"Welders, Cutters, Solderers, and Brazers(514121)",100,25.58,53210,23.23,48320,0.861,514121,"Welders, Cutters, Solderers, and Brazers",2,37860-48320
Printing Press Operators(515112),80,18.96,39430,17.44,36270,0.743,515112,Printing Press Operators,1,25610-37760
Laundry and Dry-Cleaning Workers(516011),150,14.71,30600,14.32,29790,1.352,516011,Laundry and Dry-Cleaning Workers,1,25610-37760
Cabinetmakers and Bench Carpenters(517011),70,23.09,48020,22.44,46680,0.592,517011,Cabinetmakers and Bench Carpenters,2,37860-48320
"Sawing Machine Setters, Operators, and Tenders, Wood(517041)",50,20.89,43450,19.77,41110,0.436,517041,"Sawing Machine Setters, Operators, and Tenders, Wood",2,37860-48320
Power Plant Operators(518013),40,35.98,74840,29.64,61640,0.36,518013,Power Plant Operators,4,60640-86950
Water and Wastewater Treatment Plant and System Operators(518031),100,26.25,54590,25.57,53190,0.909,518031,Water and Wastewater Treatment Plant and System Operators,3,48340-60600
Gas Plant Operators(518092),30,34.85,72480,38.99,81100,0.3,518092,Gas Plant Operators,4,60640-86950
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders(519012)",150,22.03,45810,21.71,45160,1.343,519012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",2,37860-48320
"Mixing and Blending Machine Setters, Operators, and Tenders(519023)",30,22.4,46590,21.39,44490,0.29,519023,"Mixing and Blending Machine Setters, Operators, and Tenders",2,37860-48320
"Inspectors, Testers, Sorters, Samplers, and Weighers(519061)",150,25.25,52520,23.4,48670,1.294,519061,"Inspectors, Testers, Sorters, Samplers, and Weighers",3,48340-60600
Packaging and Filling Machine Operators and Tenders(519111),90,20.41,42440,18.45,38370,0.766,519111,Packaging and Filling Machine Operators and Tenders,2,37860-48320
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders(519124)",40,27.35,56880,27.47,57130,0.335,519124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",3,48340-60600
Helpers--Production Workers(519198),40,15.4,32020,14.72,30610,0.394,519198,Helpers--Production Workers,1,25610-37760
"Production Workers, All Other(519199)",50,15.54,32310,13.92,28960,0.452,519199,"Production Workers, All Other",1,25610-37760
"First-Line Supervisors of Transportation Workers, Except Aircraft Cargo Handling Supervisors(531047)",280,28.78,59860,25.84,53740,2.528,531047,"First-Line Supervisors of Transportation Workers, Except Aircraft Cargo Handling Supervisors",3,48340-60600
Driver/Sales Workers(533031),350,18.99,39500,18.27,38000,3.086,533031,Driver/Sales Workers,2,37860-48320
Heavy and Tractor-Trailer Truck Drivers(533032),660,24.25,50440,23.37,48610,5.821,533032,Heavy and Tractor-Trailer Truck Drivers,3,48340-60600
Light Truck Drivers(533033),420,22.84,47520,19.9,41390,3.711,533033,Light Truck Drivers,2,37860-48320
"Bus Drivers, School(533051)",470,23,47850,22.82,47470,4.204,533051,"Bus Drivers, School",2,37860-48320
"Bus Drivers, Transit and Intercity(533052)",330,19.75,41080,19.77,41120,2.892,533052,"Bus Drivers, Transit and Intercity",2,37860-48320
Shuttle Drivers and Chauffeurs(533053),250,16.08,33450,15.38,31990,2.179,533053,Shuttle Drivers and Chauffeurs,1,25610-37760
"Motor Vehicle Operators, All Other(533099)",30,19.21,39950,20.52,42690,0.31,533099,"Motor Vehicle Operators, All Other",2,37860-48320
Parking Attendants(536021),30,14.24,29620,14.06,29230,0.274,536021,Parking Attendants,1,25610-37760
Industrial Truck and Tractor Operators(537051),140,20.85,43360,18.4,38270,1.243,537051,Industrial Truck and Tractor Operators,2,37860-48320
Cleaners of Vehicles and Equipment(537061),110,15.82,32900,14.75,30690,1.001,537061,Cleaners of Vehicles and Equipment,1,25610-37760
"Laborers and Freight, Stock, and Material Movers, Hand(537062)",750,17.86,37150,17.05,35460,6.673,537062,"Laborers and Freight, Stock, and Material Movers, Hand",1,25610-37760
Machine Feeders and Offbearers(537063),40,15.95,33170,15.94,33150,0.343,537063,Machine Feeders and Offbearers,1,25610-37760
"Packers and Packagers, Hand(537064)",120,15.75,32750,14.79,30770,1.054,537064,"Packers and Packagers, Hand",1,25610-37760
Stockers and Order Fillers(537065),1580,16.62,34560,16.22,33740,14.022,537065,Stockers and Order Fillers,1,25610-37760
Refuse and Recyclable Material Collectors(537081),100,16.73,34790,15.14,31500,0.881,537081,Refuse and Recyclable Material Collectors,1,25610-37760
